age_group,occupation,gender,smartphone_type,screen_time,daily_app_categories,most_used_category,ad_frequency,frequent_ad_format,most_excessive_ad_category,ads_interrupt_usage,ads_cause_frustration,ads_reduce_enjoyment,ads_close_app,ads_uninstall_app,tolerated_ad_format,most_annoying_ad_time,pay_for_adfree,ads_interrupt_usage_score,ads_cause_frustration_score,ads_reduce_enjoyment_score,ads_close_app_score,ad_fatigue_index
18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Gaming",Often,Unskippable ads,Gaming,Agree,Strongly agree,Strongly agree,Neutral,Yes,Skippable video ads,Evening,No,4.0,5.0,5.0,3.0,4.25
18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Often,Video ads,Video / OTT,Strongly agree,Strongly agree,Agree,Agree,Yes,Skippable video ads,Evening,Yes,5.0,5.0,4.0,4.0,4.5
18–24,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Sometimes,Sponsored posts,Social Media,Agree,Strongly agree,Strongly agree,Disagree,No,Skippable video ads,Evening,Yes,4.0,5.0,5.0,2.0,4.0
18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools","Social Media, Shopping / E-commerce, Education",Sometimes,Video ads,Social Media,Neutral,Agree,Agree,Neutral,Yes,Rewarded ads,,Yes,3.0,4.0,4.0,3.0,3.5
Below 18,Student,Female,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Banner ads,Video / OTT,Neutral,Neutral,Agree,Disagree,No,Banner ads,Morning,No,3.0,3.0,4.0,2.0,3.0
18–24,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Sometimes,Video ads,Gaming,Neutral,Agree,Agree,Agree,No,Skippable video ads,Morning,No,3.0,4.0,4.0,4.0,3.75
25–34,Working professional,Female,Android,2–4 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Shopping / E-commerce, News / Reading, Utility / Tools",Very often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Neutral,No,Rewarded ads,Afternoon,No,4.0,4.0,5.0,3.0,4.0
25–34,Working professional,Male,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Education",Often,Unskippable ads,Utility / Tools,Agree,Disagree,Neutral,Disagree,Yes,Rewarded ads,Morning,No,4.0,2.0,3.0,2.0,2.75
25–34,Working professional,Male,Android,4–6 hours,"Social Media, News / Reading, Utility / Tools","Social Media, Video / OTT, News / Reading",Sometimes,Banner ads,News / Reading,Neutral,Neutral,Agree,Strongly disagree,No,Banner ads,Morning,No,3.0,3.0,4.0,1.0,2.75
25–34,Working professional,Male,iOS,4–6 hours,"Video / OTT, News / Reading, Utility / Tools","Video / OTT, Gaming, Shopping / E-commerce",Often,Unskippable ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,,Yes,5.0,5.0,5.0,5.0,5.0
25–34,Working professional,Female,Android,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading","Social Media, Shopping / E-commerce, News / Reading",Sometimes,Banner ads,News / Reading,Neutral,Strongly disagree,Disagree,Agree,No,Skippable video ads,Evening,No,3.0,1.0,2.0,4.0,2.5
35–44,Self-employed,Male,iOS,Less than 2 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Shopping / E-commerce, News / Reading, Utility / Tools",Rarely,Video ads,Video / OTT,Neutral,Strongly agree,Strongly agree,Neutral,Yes,Rewarded ads,Morning,Yes,3.0,5.0,5.0,3.0,4.0
35–44,Self-employed,Male,Android,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading, Education","Social Media, News / Reading, Education",Sometimes,Sponsored posts,News / Reading,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Banner ads,Evening,No,5.0,5.0,4.0,5.0,4.75
Below 18,Student,Female,,2–4 hours,"Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education",Sometimes,,Social Media,Agree,Neutral,Neutral,Agree,No,Sponsored content,,Yes,4.0,3.0,3.0,4.0,3.5
35–44,Self-employed,Female,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Video / OTT, News / Reading",Often,Unskippable ads,News / Reading,Agree,Agree,Agree,Strongly agree,Yes,Banner ads,Morning,Yes,4.0,4.0,4.0,5.0,4.25
Below 18,Student,Female,Android,More than 6 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming, Education",Very often,Sponsored posts,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,Yes,5.0,5.0,5.0,5.0,5.0
Below 18,Student,Prefer not to say,iOS,4–6 hours,"Video / OTT, Gaming, Education","Video / OTT, Gaming, Education",Sometimes,Sponsored posts,Gaming,Neutral,Disagree,Neutral,Strongly agree,Yes,Rewarded ads,Afternoon,Yes,3.0,2.0,3.0,5.0,3.25
45+,Working professional,Female,Android,Less than 2 hours,"Shopping / E-commerce, News / Reading, Utility / Tools, Education","Shopping / E-commerce, News / Reading, Education",Very often,Unskippable ads,Utility / Tools,Agree,Neutral,Agree,Disagree,No,Banner ads,Evening,No,4.0,3.0,4.0,2.0,3.25
Below 18,Student,Male,Android,4–6 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Social Media, Gaming, Shopping / E-commerce",Very often,Unskippable ads,Gaming,Agree,Agree,Agree,Agree,No,Rewarded ads,Evening,No,4.0,4.0,4.0,4.0,4.0
35–44,Student,Female,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools",Sometimes,Rewarded ads,Video / OTT,Disagree,Neutral,Neutral,Disagree,No,Skippable video ads,,No,2.0,3.0,3.0,2.0,2.5
Below 18,Student,Male,iOS,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming",Often,Sponsored posts,Gaming,Strongly agree,Agree,Neutral,Strongly disagree,Yes,Sponsored content,Late night,Yes,5.0,4.0,3.0,1.0,3.25
45+,Self-employed,Male,iOS,2–4 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Shopping / E-commerce, News / Reading, Utility / Tools",Sometimes,Rewarded ads,News / Reading,Agree,Neutral,Agree,Disagree,No,Rewarded ads,Morning,No,4.0,3.0,4.0,2.0,3.25
35–44,Self-employed,Female,Android,2–4 hours,"Video / OTT, Gaming, Shopping / E-commerce","Video / OTT, Shopping / E-commerce, News / Reading",Often,Video ads,Gaming,Disagree,Neutral,Disagree,Neutral,No,Sponsored content,,Yes,2.0,3.0,2.0,3.0,2.5
45+,Other,Male,iOS,Less than 2 hours,"Social Media, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, News / Reading, Utility / Tools",Sometimes,Sponsored posts,News / Reading,Agree,Neutral,Agree,Strongly agree,Yes,Banner ads,Morning,Yes,4.0,3.0,4.0,5.0,4.0
18–24,Student,Male,iOS,4–6 hours,"Social Media, Gaming, Shopping / E-commerce","Social Media, Gaming, Shopping / E-commerce",Very often,Sponsored posts,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Sponsored content,Late night,No,5.0,5.0,5.0,5.0,5.0
