Timestamp,Age Group?,Occupation?,Gender,What type of smartphone do you primarily use?,Average daily mobile screen time? ,Which app categories do you use daily?,Which category do you spend the MOST time on?,How often do you see ads while using mobile apps?,Which ad formats do you encounter most frequently?,In which app category do you feel ads are MOST excessive?,Fill the following [Ads interrupt my app usage experience],Fill the following [I feel frustrated due to frequent advertisements],Fill the following [Ads reduce my enjoyment while using apps],Fill the following [Ads have caused me to close an app or stop using it temporarily],Ads have made me uninstall an app in the past,Which ad format do you tolerate the MOST?,Which time do you find ads MOST annoying?,Would you pay for an ad-free version of an app you use frequently?
05/02/2026 20:55:23,18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Gaming",Often,Unskippable ads,Gaming,Agree,Strongly agree,Strongly agree,Neutral,Yes,Skippable video ads,Evening,No
05/02/2026 20:56:07,18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Often,Video ads,Video / OTT,Strongly agree,Strongly agree,Agree,Agree,Yes,Skippable video ads,Evening,Yes
05/02/2026 20:56:19,18–24,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Sometimes,Sponsored posts,Social Media,Agree,Strongly agree,Strongly agree,Disagree,No,Skippable video ads,Evening,Yes
05/02/2026 20:56:51,18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools","Social Media, Shopping / E-commerce, Education",Sometimes,Video ads,Social Media,Neutral,Agree,Agree,Neutral,Yes,Rewarded ads,,Yes
05/02/2026 20:57:04,Below 18,Student,Female,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Banner ads,Video / OTT,Neutral,Neutral,Agree,Disagree,No,Banner ads,Morning,No
05/02/2026 20:57:23,18–24,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Sometimes,Video ads,Gaming,Neutral,Agree,Agree,Agree,No,Skippable video ads,Morning,No
05/02/2026 20:58:02,25–34,Working professional,Female,Android,2–4 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Shopping / E-commerce, News / Reading, Utility / Tools",Very often,Rewarded ads,Video / OTT,Agree,Agree,Strongly agree,Neutral,No,Rewarded ads,Afternoon,No
05/02/2026 20:58:16,25–34,Working professional,Male,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Education",Often,Unskippable ads,Utility / Tools,Agree,Disagree,Neutral,Disagree,Yes,Rewarded ads,Morning,No
05/02/2026 20:58:32,25–34,Working professional,Male,Android,4–6 hours,"Social Media, News / Reading, Utility / Tools","Social Media, Video / OTT, News / Reading",Sometimes,Banner ads,News / Reading,Neutral,Neutral,Agree,Strongly disagree,No,Banner ads,Morning,No
05/02/2026 20:58:58,25–34,Working professional,Male,iOS,4–6 hours,"Video / OTT, News / Reading, Utility / Tools","Video / OTT, Gaming, Shopping / E-commerce",Often,Unskippable ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,,Yes
